Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Construction d'un écoparc animalier;EcoZonia sera un écoparc animalier hébergeant que des espèces de prédateurs adaptées au site d'implantation. Cette thématique ainsi que le mode de fonctionnement des installations et des éléments de construction ont été réfléchi afin de minimiser au maximum l'impact sur l'environnement c'est-à-dire sur le paysage, les espèces animales et végétales ainsi que les ressources naturelles et énergétique.;Equipements sportifs, culturels ou de loisirs et aménagements associés;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code rural ou forestier;;;CRBe;CGDD - MTES;2019-07-16T12:48:36+02:00;téléprocédure demarches-simplifiées;01/07/2019;66 - Pyrénées-Orientales;15/07/2019;15/08/2019;822315032
ZAC des Fougerais à Saint-Malo et déclaration publique valant mise en compatibilité du PLU;"La Communauté d’Agglomération SAINT-MALO AGGLOMERATION, en tant que maître d’ouvrage, entend réorienter le projet de la zone d’aménagement concerté (ZAC) des Fougerais, créée par délibération du conseil communautaire en juin 2008 et située intégralement sur la commune de SAINT-MALO.

Le site est localisé au Sud de l’agglomération malouine, occupé par des terres agricoles et une habitation individuelle, ainsi que et des chemins d’exploitation. Il est bordé à l’Ouest par la Route de la Maison Neuve entre le Hameau de Saint-Etienne et la ZAC des Mottais, au Nord par des espaces agricoles, industriels et un boisement, au Sud par des terrains agricoles et la Malouinière du Puits Sauvage. Enfin, à l’Est et au Sud, le site est principalement bordé par des terres agricoles.

La superficie du projet de ZAC créée est de 11,70 ha. Elle est l’objet des nouvelles orientations avec pour principes l’implantation d’une Unité de Soins Mentaux (USM), liée au regroupement des établissement d’accueil psychiatriques du territoire, et l’accueil d’activités nécessitant la proximité de Saint-Malo, notamment en relocalisation dans le cadre de la rénovation urbaine du centre-ville.

Une mise en compatibilité du Plan Local d'Urbanisme en vigueur sur ce secteur de Saint Malo est également requise pour permettre l’évolution de l’opération.

En l'espèce, SAINT-MALO AGGLOMERATION dispose de la maîtrise foncière de la majeure partie de l'assiette du projet. Les motifs justifiant que soit requise une DUP sont donc doubles :

• En premier lieu la maîtrise foncière nécessaire à la réalisation de l’opération,

• En second lieu la mise en compatibilité du Plan Local d’Urbanisme (PLU) de Saint Malo au sens de l’article L. 153-54 du code de l’urbanisme,

De nouvelles études préalables ont été menées depuis 2017 concernant l’état actuel du site et de son environnement physique, économique et humain, et ont permis d’aboutir à un nouveau diagnostic complet, une nouvelle stratégie de développement et un nouveau schéma d'aménagement. L’ensemble est présenté dans une nouvelle étude d’impact qui est la pièce maîtresse du présent dossier.";Travaux, constructions et opérations d'aménagement;URBANISME ET CONSTRUCTION;non defini;"Autre autorisation au titre du code de l'urbanisme;Déclaration d'utilité publique (DUP)";;;ADEPE;CGDD - MTES;2019-08-08T15:38:44+02:00;téléprocédure demarches-simplifiées;;35 - Ille-et-Vilaine;;;794386599
Perimètre de protection du captage du forage de Galicet;"Le forage de Galicet se trouve sur la commune de Freneuse, petite ville des Yvelines caractérisée par une activité agricole relativement importante. Il se situe à environ 1,750km du centre bourg (coté nord), dans la basse plaine alluviale de la Seine, au bord du Val Guion, et à l'est du centre de Bonnières sur Seine.

Le forage de Galicet n'a pas fait l'objet de mise en place de périmètres de protection depuis sa création.

La mise en place des périmètres de protection des captages est une mesure imposée par les lois sur l'eau de 1964, 

Ce périmètre comprend 181 parcelles et est composé dans sa partie la plus proche de zones boisées et agricoles et dans la partie la plus éloignée de construction de type lotissement.

Dans ce périmètre de protection aucune activité industrielle n'est à noter.

Au niveau de la pollution domestique on constate cinq habitations avec un assainissement autonomes.

Les pollutions liées au trafic sont de deux sortes :

•	les eaux de ruissellement de l'autoroute et des autres voies peuvent être rejeté dans la talweg passant à proximité du puits. 

•	Les produits utilisés pour le désherbage des voies ferrées doivent être surveillés";Forages en profondeur, notamment les forages géothermiques, les forages pour l'approvisionnement en eau, à l'exception des forages pour étudier la stabilité des sols;ENVIRONNEMENT (dont ICPE installation classée);clos;Déclaration d'utilité publique (DUP);;;-;CGDD - MTES;2019-11-27T14:44:42+01:00;téléprocédure demarches-simplifiées;29/08/2019;78 - Yvelines;25/09/2019;26/10/2019;402528608
Projet d'aménagement forestier de la plaine de Pierrelaye-Bessancourt;"Le SMAPP a pour ambition de créer une nouvelle forêt de 1 350 hectares sur la Plaine de Pierrelaye-Bessancourt afin de requalifier ce territoire engagé dans un processus de dégradation et de lui conférer une nouvelle vocation.  Les objectifs du projet visent à : 

•	Préserver durablement la Plaine en tant qu'espace naturel dans la ceinture verte régionale d’Ile-de-France

•	Réhabiliter la Plaine et stopper les dégradations à l’œuvre  

•	Offrir un meilleur cadre de vie aux habitants

•	Transformer l'image du territoire

L'aménagement forestier de la Plaine de Pierrelaye-Bessancourt permettra la création d’une continuité forestière au nord-ouest de la région francilienne et constituera un futur « poumon vert » intégré à la ceinture verte régionale qui contribuera aux objectifs nationaux de préservation de la biodiversité et de lutte contre le réchauffement climatique.

Le projet d’aménagement forestier de la plaine de Pierrelaye-Bessancourt du SMAPP s’appuie sur un programme de travaux qui prévoit :

-	la requalification de 370 hectares de boisements existants, 

-	la plantation de 600 hectares de boisements nouveaux, 

-	la préservation de 250 hectares d'espaces ouverts pour l’accueil du public et pour la biodiversité, 

-	la création d’un franchissement pour déplacements doux et de trois passages à faune, 

-	l’aménagement d’un réseau de cheminements de 90 km organisé autour d’un axe structurant support d’un projet de chemin de grande randonnée, 

-	la création d’accès et d’aires de stationnement, 

-	la mise en valeur d’éléments patrimoniaux et de perspectives visuelles,

-	l’aménagement de 3 sites pour la relocalisation des familles de voyageurs,

-	la démolition des ensembles bâtis nécessaire à la mise en œuvre du projet.



Les principaux enjeux environnementaux soulevés par le projet d’aménagement forestier de la Plaine portent sur : 

-	la pollution des sols et les risques sanitaires et environnementaux qui en découlent ; 

-	la fermeture des milieux ouverts du fait de son boisement et ses conséquences sur les milieux naturels, la faune et la flore ; 

-	les impacts sur la population vivant actuellement sur la Plaine.

L'ensemble des enjeux environnementaux, des mesures d’évitement et de réduction ainsi que des mesures de suivi sont présentés dans le tome 2 de l'évaluation environnementale.

La pollution des sols

La pratique des épandages des eaux usées brutes de l’agglomération parisienne pendant plus d’un siècle a eu pour effet de charger les sols en éléments traces métalliques. Les concentrations en métaux lourds ont été relevées et caractérisées. L'étude sanitaire confiée à HPC Envirotec ayant pour objet d’évaluer l’adéquation de la qualité des sols présents sur la Plaine avec les orientations d’aménagement de la future forêt a conclu à la compatibilité des futurs usages de la forêt avec la pollution des sols. Elle a également permis d’identifier les mesures de gestion adaptées pour éviter les risques sur la santé publique et l’environnement.

Les principales mesures d’évitement et de réduction adoptées par le SMAPP :

-	mise en place d’une signalétique préventive à destination des futurs promeneurs ;

-	interdiction de la chasse et de la cueillette à des fins alimentaires ;

-	sanctuarisation des 21 hectares concentrant le plus de polluants en mettant en place des clôtures et barrières naturelles et en renforçant la signalisation sur ces sites ;

-	déplacement d’un tracé de chemin passant à proximité d'une de ces zones concentrant le plus de polluants ;

-	réalisation de campagnes de chaulage en tant que de besoin afin de limiter les risques de transferts de la pollution engendrés par l'acidification éventuelle des sols ;

-	mise en place de protocoles de suivi, de surveillance et de contrôle de la qualité des sols et des eaux souterraines

La biodiversité

Le boisement de la Plaine vient modifier profondément les habitats naturels et semi naturels existants en réduisant leur surface de 62%. 10 % de ces habitats présentent des enjeux de conservation moyens (mégaphorbiaies, friches vivaces thermophiles, ourlets acidiphiles atlantiques, pelouses annuelles acidiphiles rudéralisées et prairies mésophiles pâturées) à forts (pelouses sablo-calcicoles, pelouses annuelles sur sables acides). Les effets du projet sur leur disparition sont par conséquent jugés forts.

L’évaluation environnementale préconise le maintien d’une surface minimale de 250 ha d’espaces ouverts pour préserver et favoriser le développement de la biodiversité existante. La démarche d’évitement et de réduction adoptée par le SMAPP a conduit à préserver tous les habitats naturels à enjeux de conservation moyens à forts en repensant l'usage des clairières prévues dans le projet d’aménagement initial. 

Les principales mesures d’évitement et de réduction adoptées par le SMAPP pour préserver la biodiversité :

-	maintien de 250 hectares d'espaces ouverts afin de préserver les espèces faunistiques et floristiques qui y sont inféodées ;

-	sanctuarisation des espaces ouverts qui accueillent une faune et une flore patrimoniales ou protégées et qui par ailleurs se caractérisent par une concentration de la pollution ;

-	aménagement de deux clairières à Pierrelaye et Herblay afin de conserver suffisamment d'espaces favorables aux insectes et à l'alimentation et à la nidification des oiseaux des cortèges des lisières, buissons et milieux semi-ouverts ;

-	mise en place d’un plan de gestion différenciée des milieux ouverts pour éviter la fermeture de ces milieux par l'avancée naturelle des milieux boisés.

L’accompagnement des populations impactées par le projet

La mise en œuvre du projet nécessite la démolition des ensembles bâtis et le déplacement des lotissements de caravanes présents sur la Plaine. Le projet engendre également un arrêt progressif de l'agriculture.

Une démarche d'acquisition à l'amiable sera d'abord engagée et dans le cadre de la procédure d’expropriation pour cause d’utilité publique, le SMAPP mettra en œuvre les dispositions réglementaires prévues par la législation en vigueur en matière d’indemnisation et de relogement. 

Concernant plus particulièrement les familles de Voyageurs, une démarche spécifique sera mise en place. Pour gérer la relocalisation de ces familles, une MOUS, Maîtrise d’œuvre Urbaine et Sociale, après une première mission consacrée au recensement des familles concernées et à l’identification de leurs souhaits, sera chargée de mettre en adéquation les besoins de relocalisation des populations avec les offres possibles d’accueil, existantes ou à développer sur les territoires concernés en fonction des capacités des territoires.

Le SMAPP contribuera aux solutions de relocalisation adaptées en réservant à cet effet 3,3 ha, répartis sur 3 sites, au sein de son périmètre de projet. Des solutions de relocalisation seront également étudiées avec les communes concernées.



Concernant les agriculteurs et afin d'accompagner la mutation de la Plaine, il est prévu la mise en place d’un protocole d’accord global avec les exploitants agricoles impactés par le projet de forêt. Cet accord global définira les modalités d’indemnisation pour cause d’éviction et les conditions de sortie progressive de l’activité jusqu’à la plantation des arbres. 

Les mesures d’évitement et de réduction adoptées par le SMAPP pour accompagner les populations concernées :

-	favoriser la démarche d'acquisition à l'amiable ;

-	mettre en œuvre les dispositions réglementaires prévues par la législation en vigueur en matière d’indemnisation et de relogement en cas d'expropriation ;

-	participer à la relocalisation des familles de voyageurs dans le cadre d'une MOUS en partenariat avec les collectivités locales concernées ; 

-	aménager 3 sites au sein du périmètre pour contribuer à la relocalisation des familles de Voyageurs présentes sur la Plaine ; 

-	mettre en place un protocole d'accord global avec les exploitants agricoles.";"Travaux, constructions et opérations d'aménagement;Aires de stationnement ouvertes au public, dépôts de véhicules et garages collectifs de caravanes ou de résidences mobiles de loisirs;Equipements sportifs, culturels ou de loisirs et aménagements associés;Premiers boisements et déboisements en vue de la reconversion de sols";"URBANISME ET CONSTRUCTION;ENVIRONNEMENT (dont ICPE installation classée);AGRICULTURE, SYLVICULTURE ET PÊCHE";clos;Déclaration d'utilité publique (DUP);;;Biotope;CGDD - MTES;2019-11-08T15:29:58+01:00;téléprocédure demarches-simplifiées;15/05/2019;95 - Val-d'Oise;05/06/2019;05/07/2019;531002749
Déclaration de projet portant sur la réalisation d'un plateau sportif sur la commune de Pizay;Le projet s'inscrit dans le cadre d'une déclaration de projet au vu de sa proximité avec Natura 2000.;Equipements sportifs, culturels ou de loisirs et aménagements associés;URBANISME ET CONSTRUCTION;clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-11-07T16:38:31+01:00;téléprocédure demarches-simplifiées;27/09/2019;01 - Ain;15/10/2019;16/11/2019;808827158
ZAC de la Demi-Lieue à OSNY;"Située au nord de la commune d’Osny, la ZAC de la Demi-Lieue est 3 sites : 

1.	A l’Ouest, le secteur de Genicourt d’une surface totale de 5,6 ha, en continuité avec des zones urbanisées ;

2.	Au centre, le secteur Sainte-Marie constituée de terres agricoles entravées entre des équipements, des zones habitées et des voiries (RD 915 et la rue de Chars) sur une surface total de 8,9 ha ;

3.	A l’Est, le secteur de l’Oseraie Nord d’une surface de 18,6 ha

L’ensemble de la ZAC totalise une surface d’environ 33 ha. 

Le choix de ce secteur d’aménagement s’est réalisé notamment en s’appuyant sur les différents documents d’urbanisme applicable (PLU, SCOT) identifiant le site comme un secteur d’urbanisation, de croissance urbaine et de développement de l’activité économique.



L’aménagement de la future ZAC répondra à des préoccupations du développement durable qui auront notamment pour objectif de minimiser les impacts immédiats sur l’environnement (intégration paysagère, création d’une continuité écologique, infiltration des eaux de ruissellement, prise en compte des différents modes de déplacements, etc.) et les impacts à long terme (maîtrise des énergies, gestion des déchets, etc.).



L’un des objectifs majeurs dans ce projet a été de compenser l’urbanisation de terres agricoles de monoculture par la mise en place de quartiers à fort potentiel de développement de la biodiversité. Ainsi, les notions de corridor écologique, de gestion aérienne des eaux pluviales ou le choix adapté d’essences végétales locales ont guidé le travail de paysage, de même que l’installation de formes nouvelles de partage de l’espace public, telles que voies partagées ou fonctionnement en plateau.



A noter que le projet soumis à la concertation du public concerne le volet 1 de l'autorisation environnementale portant sur la Loi sur l'Eau et les milieux aquatiques.";Travaux, constructions et opérations d'aménagement;URBANISME ET CONSTRUCTION;non defini;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-09-23T12:01:05+02:00;téléprocédure demarches-simplifiées;;95 - Val-d'Oise;;;332555721
Augmentation de la capacité de traitement de déchets non dangereux (Bois B) d'une installation de co-incinération;"Le projet porté par ENORIS vise à augmenter la capacité de traitement de Bois B ( supérieur à 3t/h) de nos chaudières à lit fluidisé circulant. Cette augmentation entraînera une diminution de la consommation de charbon. 

Ce projet ne nécessite aucune modification constructive des installations existantes. 



Les impacts du projet sur l'environnement ont été analysés à savoir :

- Impact sur le domaine de l'eau ( consommation d'eau, rejets aqueux, eaux souterraines)

-Impact sur la qualité de l'air

-Impact sur le milieu naturel

- Impact sur le milieu humain

- Impact sur le trafic routier

- Impact sur la santé publique.



L'ensemble des résultats sont disponibles dans l'étude d'impact .";Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;SAFEGE;CGDD - MTES;2019-05-16T16:50:13+02:00;téléprocédure demarches-simplifiées;19/10/2018;91 - Essonne;05/11/2018;05/12/2018;494936859
Création d’un entrepôt logistique Pont d’Ain- ZAC Ecosphère Innovation (anciennement Pont Rompu) (01);"Le présent dossier de demande d’autorisation environnementale est établi par la société PRD afin d’obtenir l’autorisation préfectorale d’exploiter un projet de plate-forme logistique sur le territoire de la commune de Pont d’Ain (01).

Le bâtiment logistique d’environ 50 308 m² sera construit sur un terrain d’environ 132 276 m².

D’après l’annexe à l’article R122-2 du Code de l’Environnement, rubrique 39, les travaux et constructions qui créent une emprise au sol, au sens de l'article R.420-1 du code de l'urbanisme, supérieure ou égale à 40 000 m² sont soumis à évaluation environnementale.

Le projet de PRD est donc directement soumis à évaluation environnementale au vu de l’emprise de bâtiment projetée. 

Le schéma général du site est présenté en détail sur les plans associés au dossier.";Installations classées pour la protection de l'environnement;"URBANISME ET CONSTRUCTION;ENVIRONNEMENT (dont ICPE installation classée)";non defini;Autorisation au titre du code de l'environnement;;;Bureau Veritas Exploitation;CGDD - MTES;2019-09-27T17:24:45+02:00;téléprocédure demarches-simplifiées;;01 - Ain;;;824831283
Mise à 2x2 voies de la RN176 entre l'Estuaire de la Rance et l'échangeur de la Chênaie;Mise à 2x2 voies de la RN176 entre l'Estuaire de la Rance et l'échangeur de la Chênaie. Le projet d'une longueur de 4.2 km porte sur l'élargissement à 2 x 2 voies de la chaussée actuelle de la RN176, et sur l'élargissement du pont Chateaubriand sur la Rance. Il comprend également la réalisation de 2 bretelles supplémentaires pour compléter le demi échangeur avec la RD366.;Infrastructures routières (les ponts, tunnels et tranchées couvertes supportant des infrastructures routières doivent être étudiés au titre de cette rubrique);"URBANISME ET CONSTRUCTION;TRANSPORTS;ENVIRONNEMENT (dont ICPE installation classée)";non defini;"Autorisation au titre du code de l'environnement;Autre autorisation au titre du code de l'urbanisme;Déclaration d'utilité publique (DUP)";;;AEPE Gingko;CGDD - MTES;2019-05-09T13:16:09+02:00;téléprocédure demarches-simplifiées;;35 - Ille-et-Vilaine;;;414470518
Déclaration de projet portant sur la construction d'un groupe scolaire;Déclaration de projet, valant déclaration d'intention, portant mise en compatibilité du PLU de la commune de Pizay, en vue de la construction d'un groupe scolaire à proximité d'une zone Natura 2000.;Travaux, constructions et opérations d'aménagement;URBANISME ET CONSTRUCTION;clos;Déclaration d'utilité publique (DUP);;;AGENCE 2BR;CGDD - MTES;2019-09-23T17:35:23+02:00;téléprocédure demarches-simplifiées;27/09/2019;01 - Ain;15/10/2019;16/11/2019;511090987
Construction d'un refuge fourrière;Construction d'un refuge et d'une fourrière animal de 194 chiens et 248 chats;Installations classées pour la protection de l'environnement;"URBANISME ET CONSTRUCTION;ENVIRONNEMENT (dont ICPE installation classée)";clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-08-27T12:23:53+02:00;téléprocédure demarches-simplifiées;03/10/2018;92 - Hauts-de-Seine;22/10/2018;22/11/2018;38871828
Demande d'autorisation d'exploiter une carrière, une installation de traitement et une station de transit de produits minéraux solides, sur la commune d'Aigues-Vives (30);"Renouvellement et extension de la carrière d'Aigues-Vives - Etablissements Lazard.

Superficie totale 41ha 83a 90ca, dont 21ha 62a 80ca en extension

Principaux enjeux identifiés ayant engendré la proposition de mesures Evitement-Réduction-Compensation :  faune, eaux souterraines et superficielles, air, bruit.

Projet de remise en état : plans d'eau à vocation écologique et de promenade.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;ATDx (Nîmes, 30);CGDD - MTES;2019-12-13T08:55:07+01:00;téléprocédure demarches-simplifiées;21/11/2019;30 - Gard;16/12/2019;17/01/2020;827907254
Parc solaire de L'Epine;"Projet de parc solaire photovoltaïque sur la commune de L'Epine au lieu-dit ""Grand bois"" d'une surface de 38,8 ha comprenant 10 locaux techniques (8 postes de transformation et 2 postes de livraison).";Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;"Autorisation au titre du code de l'environnement;Permis de construire";;;-;CGDD - MTES;2018-12-03T17:52:59+01:00;téléprocédure demarches-simplifiées;;05 - Hautes-Alpes;10/12/2018;11/01/2019;521894006
Amélioration de la bifurcation A7/A54;"Le projet d’amélioration de la bifurcation A7 / A54 permet de répondre aux problématiques de trafic, de fonctionnement, d’exploitation et de sécurité tout en tenant compte des contraintes techniques, environnementales et foncières ainsi que des aspects fonctionnels et d’exploitation. 



L’aménagement proposé concerne uniquement les bretelles orientées vers le Sud et consiste en :

•	la reconfiguration de l’accès à la bretelle permettant le mouvement A7 sud vers A54  

•	le passage à deux voies de la bretelle permettant le mouvement depuis A54 vers A7 sud, avec :

o	la création d’une voie supplémentaire sur l’autoroute A54, en amont de la bretelle de jonction Arles / Marseille   

o	la création d’une voie d’insertion supplémentaire sur l’autoroute A7, dans le prolongement de la bretelle de jonction Arles / Marseille

Le projet prévoit également la réalisation d’un dispositif de traitement des eaux de ruissellement des plates-formes autoroutières avant rejet dans le milieu naturel.



Le projet est soumis à examen au cas par cas (en vertu de la rubrique 6° Infrastructures routières de l’article

R122-2 du Code de l’Environnement). Cependant, le maître d’ouvrage décide, en accord avec la DREAL de

soumettre volontairement d’office le projet à étude d’impact et à évaluation environnementale de la mise en

compatibilité des documents d’urbanisme.";Infrastructures routières (les ponts, tunnels et tranchées couvertes supportant des infrastructures routières doivent être étudiés au titre de cette rubrique);TRANSPORTS;clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-12-10T15:06:18+01:00;téléprocédure demarches-simplifiées;09/05/2019;13 - Bouches-du-Rhône;03/06/2019;03/07/2019;500602982
Projet de parc éolien de la Forge;Construction puis exploitation d'une centrale éolienne composée de 4 aérogénérateurs et leurs équipements associés (dont 1 poste de livraison électrique) sur la commune de Val d'Issoire (Haute-Vienne).;Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-10-16T13:42:50+02:00;téléprocédure demarches-simplifiées;13/09/2018;87 - Haute-Vienne;02/10/2018;31/10/2018;340396142
Prolongation d’autorisation d’installation de traitement des matériaux;"Le projet concerne la poursuite d’exploitation d’une installation de traitement avec unité de recyclage des matériaux, station de transit, accueil de matériaux inertes extérieurs au site pour la remise en état de ce dernier.

DETAILS CONCERNANT L’EXPLOITATION

- Superficie cadastrale concernée : 20 ha 41 a 83 ca

- Puissance totale installée des installations de traitement : 650 kW

- Superficie de la station de transit : 60 000 m2

- Tonnage annuel des matériaux d’extraction à traiter : 300 à 400 000 t

-Tonnage annuel des matériaux à recycler : 25 000 t

- Volume de matériaux disponibles pour le réaménagement du site :

- Terre végétale issue de l’activité de la carrière : 64 000 m3,

- Argiles issues du lavage des matériaux d’extraction : 5 250 m3/an,

- Matériaux inertes extérieurs au site : 85 000 m3/an.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);non defini;Autorisation au titre du code de l'environnement;;;ENCEM;CGDD - MTES;2019-05-20T16:22:58+02:00;téléprocédure demarches-simplifiées;;63 - Puy-de-Dôme;;;441389871
Modification des conditions d'exploitation du site de gestion de déchets de Kerolzec à Saint-Martin-des-Champs (29);"Cette étude d’impact a été menée de manière proportionnée à la fois aux

enjeux présentés par l’environnement du site qu’aux incidences attendues,

sans toutefois mettre de côté certains des aspects environnementaux.

Cette étude d’impact a été menée à différentes échelles selon les aspects

environnementaux considérés parmi lesquels il est possible de citer : le périmètre

d’exploitation de l’établissement, la zone industrielle dans laquelle il s’intègre, le

territoire de la commune d’implantation (Saint-Martin-des-Champs) et ceux des

communes intégrées dans le rayon d’affichage de l’enquête publique (Morlaix,

Plourin-lès-Morlaix, Pleyber-Christ, Sainte-Sève et Taulé) et au-delà pour certains

domaines d’étude (plans, programmes, schémas à l’échelle de

l’intercommunalité, du département, de la région, etc.).

Cette étude intègre également une analyse des incidences du projet avec les «

autres projets connus » tel que le précise la réglementation.

Par ailleurs cette étude d’impact intègre dans une annexe autoportante résumée

dans le dossier, une « Evaluation des Risques Sanitaires » sur la santé humaine

selon la méthodologie proposée dans un guide dédié de l’INERIS.

Enfin, pour la réalisation de cette étude d’impact, GUYOT Environnement s’est

adjoint l’accompagnement d’un Bureau d’Études spécialisé en environnement et

en risques industriels, en l’occurrence NEODYME Breizh, dont elle s’est assurée de

la compétence dans ce domaine.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-11-19T17:16:23+01:00;téléprocédure demarches-simplifiées;05/11/2019;29 - Finistère;20/11/2019;20/12/2019;381527175
Centre de broyage de clinker de Portes-lès-Valence;"Le centre de broyage de clinker projeté sera localisé dans le département de la Drôme (26), sur le territoire communal de la ville de Portes-lès-Valence, au sein de la zone industrialo-portuaire de la Motte.

Le site projeté retenu n'accueille, à ce jour, aucune installation existante. Rhône Ciments (RC) l'occupera sous couvert d'une convention d'occupation temporaire signée avec la Compagnie National du Rhône (CNR).

Le projet consiste à construire un centre de broyage permettant de produire des ciments (240 000 t/an) à l'aide d'une ligne de broyage d'un mélange de clinker, de gypse et de calcaire, d'une capacité de production de 25 à 35 t/h ; pour ce faire : 

- Une voie ferrée sera créée sur l'emprise du site afin de permettre son raccordement à la voie ferrée existante de la zone.

- Des plates-formes béton extérieures permettront le stockage de conteneurs de transport de matières premières.

- Les installations de stockage vracs des matières premières, de broyage, de stockage et de conditionnement des produits finis se trouveront à l'intérieur de bâtiments.

- Des bâtiments annexes sont également prévus (bureaux, laboratoire qualité, maintenance, stockage des consommables d'emballages).";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-05-02T16:44:14+02:00;téléprocédure demarches-simplifiées;18/10/2018;26 - Drôme;12/11/2018;13/12/2018;878830223
Projet éolien de Coulgens, Saint-Angeau et Aussac-Vadalle (16);Projet de parc éolien comportant 5 éoliennes et 2 postes de livraison.;Installations classées pour la protection de l'environnement;ÉNERGIE;non defini;Autorisation au titre du code de l'environnement;;;OREADE-BRECHE;CGDD - MTES;2019-01-15T17:36:59+01:00;téléprocédure demarches-simplifiées;;16 - Charente;;;505116905
